Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,ATC LEVEL,Is Drug Class,Semantic type UMLS property
http://purl.bioontology.org/ontology/ATC/D11AX06,mequinol,,,false,C0048318,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/D11AX,5,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/J05AC02,rimantadine,,,false,C0035629,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/J05AC,5,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/R02AB01,neomycin,,,false,C0027603,http://purl.bioontology.org/ontology/STY/T195|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/R02AB,5,,http://purl.bioontology.org/ontology/STY/T195|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/D10AX02,resorcinol,,,false,C0073085,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/D10AX,5,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/D10AF01,clindamycin,,,false,C0008947,http://purl.bioontology.org/ontology/STY/T195|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/D10AF,5,,http://purl.bioontology.org/ontology/STY/T195|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/C01BC09,ethacizine,,,false,C0059688,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/C01BC,5,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/N04AA04,procyclidine,,,false,C0033254,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/N04AA,5,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/N05CA09,vinbarbital,,,false,C0301408,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/N05CA,5,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/A01AB18,clotrimazole,,,false,C0009074,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/A01AB,5,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/ATC/R03AH,Combinations of adrenergics,,,false,C3653685,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/R03A,4,Y,http://purl.bioontology.org/ontology/STY/T121
